DiseaseName,AssociatedGenes
Joubert syndrome 7,RPGRIP1L
Joubert syndrome 8,ARL13B
Joubert syndrome 9,CC2D2A
Joubert syndrome with hepatic defect,TMEM67
Juberg-Hayward syndrome,ESCO2
Junctional epidermolysis bullosa,
Junctional epidermolysis bullosa gravis of Herlitz,"LAMA3, LAMB3, LAMC2"
"Junctional epidermolysis bullosa, non-Herlitz type","COL17A1, ITGB4, LAMA3, LAMB3, LAMC2"
Juvenile amyotrophic lateral sclerosis,
Juvenile arthritis due to defect in LACC1,LACC1
Juvenile hemochromatosis,
Juvenile myelomonocytic leukemia,"ARHGAP26, CBL, NF1, PTPN11"
Juvenile myoclonic epilepsy,
"Juvenile myopathy, encephalopathy, lactic acidosis AND stroke","MT-CO1, MT-CO2, MT-CO3, MT-CYB, MT-ND1, MT-ND5, MT-ND6, MT-TC, MT-TF, MT-TK, MT-TL1, MT-TQ, MT-TS1, MT-TS2, MT-TV, MT-TW"
Juvenile nephropathic cystinosis,CTNS
Juvenile neuronal ceroid lipofuscinosis,
Juvenile polyposis syndrome,
Juvenile polyposis/hereditary hemorrhagic telangiectasia syndrome,SMAD4
Juvenile primary lateral sclerosis,ALS2
Juvenile retinoschisis,RS1
Kabuki syndrome 1,"KDM6A, KMT2D"
Kabuki syndrome 2,KDM6A
Kahrizi syndrome,SRD5A3
"Kallikrein, decreased urinary activity of",KLK1
Kallmann syndrome 3,PROKR2
Kanamycin response,"MT-RNR1, MT-TS1, TRMU"
"Kaposi sarcoma, susceptibility to",IL6
Kartagener syndrome,DNAI1
Kaufman oculocerebrofacial syndrome,UBE3B
Kaya-Barakat-Masson syndrome,YIF1B
KBG syndrome,ANKRD11
Keipert syndrome,GPC4
Kell blood group system,KEL
Kennedy disease,AR
Kenny-Caffey syndrome type 2,FAM111A
Keppen-Lubinsky syndrome,KCNJ6
"Keratitis-ichthyosis-deafness syndrome, autosomal dominant",GJB2
Keratitis fugax hereditaria,NLRP3
"Keratitis, hereditary",PAX6
Keratoconus 1,VSX1
Keratoconus 9,TUBA3D
Keratoderma with scleroatrophy of the extremities,SMARCAD1
Keratolytic winter erythema,CTSB
Keratosis follicularis,ATP2A2
"Keratosis follicularis spinulosa decalvans, X-linked",MBTPS2
Keratosis linearis with ichthyosis congenita and sclerosing keratoderma,POMP
Keratosis palmoplantaris striata 3,KRT1
Keratosis palmoplantaris striata II,DSP
Keratosis pilaris,LRP1
Keutel syndrome,MGP
Khan-Khan-Katsanis syndrome,NCAPG2
Kilquist syndrome,SLC12A2
Kindler syndrome,FERMT1
KINSSHIP SYNDROME,AFF3
Kleefstra syndrome 1,EHMT1
Kleefstra syndrome 2,KMT2C
"Klippel-Feil syndrome 1, autosomal dominant",GDF6
"Klippel-Feil syndrome 2, autosomal recessive",MEOX1
"Klippel-Feil syndrome 3, autosomal dominant",GDF3
"Klippel-feil syndrome 4, autosomal recessive, with nemaline myopathy and facial dysmorphism",MYO18B
Kniest dysplasia,COL2A1
Knobloch syndrome 1,COL18A1
KNOPS BLOOD GROUP SYSTEM,CR1
"Knuckle pads, deafness AND leukonychia syndrome",GJB2
Kohlschutter-Tonz syndrome-like,SATB1
Koolen-de Vries syndrome,KANSL1
Kosaki overgrowth syndrome,PDGFRB
Kostmann syndrome,HAX1
"Krabbe disease, atypical, due to saposin A deficiency",PSAP
Kufor-Rakeb syndrome,ATP13A2
Kugelberg-Welander disease,"SMN1, SMN2"
"Kuru, susceptibility to",PRNP
L-2-hydroxyglutaric aciduria,L2HGDH
L-ferritin deficiency,FTL
L1 syndrome,
Lacosamide response,CYP2C19
Lacrimal duct defect,IGSF3
Lactate dehydrogenase B deficiency,LDHB
Lactic aciduria due to d-lactic acid,LDHD
Lafora disease,"EPM2A, NHLRC1"
Lamb-shaffer syndrome,SOX5
Lamellar ichthyosis,SDR9C7
Laminin alpha 2-related dystrophy,
Landsteiner-Wiener phenotype,ICAM4
Langer mesomelic dysplasia syndrome,SHOX
Langereis blood group,ABCB6
Language delay and attention deficit-hyperactivity disorder/cognitive impairment with or without cardiac arrhythmia,GNB5
Lansoprazole response,CYP2C19
Large congenital melanocytic nevus,"HRAS, NRAS"
Laron-type isolated somatotropin defect,GHR
Larsen syndrome,FLNB
Laryngo-onycho-cutaneous syndrome,LAMA3
Late-onset familial alzheimer disease,
Late-onset retinal degeneration,C1QTNF5
Lateral meningocele syndrome,NOTCH3
Lathosterolosis,SC5D
Lattice corneal dystrophy Type I,TGFBI
Lattice corneal dystrophy Type III,TACSTD2
Laurence-Moon syndrome,PNPLA6
Laurin-Sandrow syndrome,LMBR1
Lazy leukocyte syndrome,WDR1
LCAT deficiency,
Leber congenital amaurosis,
Leber congenital amaurosis 1,GUCY2D
Leber congenital amaurosis 10,CEP290
Leber congenital amaurosis 11,IMPDH1
Leber congenital amaurosis 12,RD3
Leber congenital amaurosis 13,RDH12
Leber congenital amaurosis 14,LRAT
Leber congenital amaurosis 15,TULP1
Leber congenital amaurosis 16,KCNJ13
Leber congenital amaurosis 17,GDF6
Leber congenital amaurosis 19,USP45
Leber congenital amaurosis 2,RPE65
Leber congenital amaurosis 3,SPATA7
Leber congenital amaurosis 4,AIPL1
Leber congenital amaurosis 5,LCA5
Leber congenital amaurosis 6,RPGRIP1
Leber congenital amaurosis 7,CRX
Leber congenital amaurosis 8,CRB1
Leber congenital amaurosis 9,NMNAT1
Leber congenital amaurosis with early-onset deafness,TUBB4B
Leber hereditary optic neuropathy,"MT-ATP6, MT-CO3, MT-CYB, MT-ND1, MT-ND2, MT-ND4, MT-ND4L, MT-ND5, MT-ND6"
"LEBER HEREDITARY OPTIC NEUROPATHY, AUTOSOMAL RECESSIVE",DNAJC30
"Leber optic atrophy, susceptibility to",PRICKLE3
Left ventricular noncompaction 1,DTNA
Left ventricular noncompaction 10,MYBPC3
Left ventricular noncompaction 6,TNNT2
Left ventricular noncompaction 7,MIB1
Left ventricular noncompaction 8,PRDM16
Legionella infection,
"Legionnaire disease, susceptibility to",TLR5
Legionnaires' disease,
Legius syndrome,SPRED1
Leigh syndrome,
Lenz-Majewski hyperostosis syndrome,PTDSS1
Lenz microphthalmia syndrome,"BCOR, NAA10"
LEOPARD syndrome 1,PTPN11
LEOPARD syndrome 2,RAF1
LEOPARD syndrome 3,BRAF
Leprechaunism syndrome,INSR
Leprosy 3,TLR2
Leprosy 4,LTA
Leprosy 5,TLR1
Leptin deficiency or dysfunction,LEP
Leptin receptor deficiency,LEPR
Leri-Weill dyschondrosteosis,SHOX
Lesch-Nyhan syndrome,HPRT1
Lesinurad response,CYP2C9
Lessel-Kreienkamp syndrome,AGO2
Lessel-kubisch syndrome,MDM2
Lethal acantholytic epidermolysis bullosa,DSP
Lethal arthrogryposis with anterior horn cell disease,GLE1
Lethal congenital contractural syndrome 3,PIP5K1C
Lethal congenital contracture syndrome 1,GLE1
Lethal congenital contracture syndrome 10,NEK9
Lethal congenital contracture syndrome 11,GLDN
Lethal congenital contracture syndrome 2,ERBB3
Lethal congenital contracture syndrome 4,MYBPC1
Lethal congenital contracture syndrome 5,DNM2
Lethal congenital contracture syndrome 6,ZBTB42
Lethal congenital contracture syndrome 7,CNTNAP1
Lethal congenital contracture syndrome 8,ADCY6
Lethal congenital contracture syndrome 9,ADGRG6
Lethal infantile mitochondrial myopathy,MT-TT
Lethal Kniest-like syndrome,HSPG2
Lethal multiple pterygium syndrome,"CHRNA1, CHRND, CHRNG"
Lethal osteosclerotic bone dysplasia,FAM20C
Lethal tight skin contracture syndrome,"LMNA, ZMPSTE24"
Leucine-induced hypoglycemia,ABCC8
"Leukemia, acute lymphoblastic, susceptibility to, 3",PAX5
Leukocyte adhesion deficiency 1,ITGB2
Leukocyte adhesion deficiency type II,SLC35C1
"Leukocyte adhesion deficiency, type III",FERMT3
Leukodystrophy and acquired microcephaly with or without dystonia,PLEKHG2
"Leukodystrophy, adult-onset, autosomal dominant",LMNB1
"Leukodystrophy, hypomyelinating, 10",PYCR2
"Leukodystrophy, hypomyelinating, 11",POLR1C
"Leukodystrophy, hypomyelinating, 12",VPS11
"Leukodystrophy, hypomyelinating, 13",HIKESHI
"Leukodystrophy, hypomyelinating, 14",UFM1
"Leukodystrophy, hypomyelinating, 15",EPRS1
"Leukodystrophy, hypomyelinating, 16",TMEM106B
"Leukodystrophy, hypomyelinating, 17",AIMP2
"Leukodystrophy, hypomyelinating, 18",DEGS1
"LEUKODYSTROPHY, HYPOMYELINATING, 19, TRANSIENT INFANTILE",TMEM63A
"Leukodystrophy, hypomyelinating, 2",GJC2
"Leukodystrophy, hypomyelinating, 20",CNP
"LEUKODYSTROPHY, HYPOMYELINATING, 21",POLR3K
"LEUKODYSTROPHY, HYPOMYELINATING, 22",CLDN11
"Leukodystrophy, hypomyelinating, 4",HSPD1
"Leukodystrophy, hypomyelinating, 6",TUBB4A
"Leukodystrophy, hypomyelinating, 9",RARS1
Leukoencephalopathy with ataxia,CLCN2
Leukoencephalopathy with brain stem and spinal cord involvement-high lactate syndrome,DARS2
Leukoencephalopathy with dystonia and motor neuropathy,SCP2
Leukoencephalopathy with vanishing white matter,"EIF2B1, EIF2B2, EIF2B3, EIF2B4, EIF2B5"
"Leukoencephalopathy, acute reversible, with increased urinary alpha-ketoglutarate",SLC13A3
"Leukoencephalopathy, brain calcifications, and cysts",SNORD118
"Leukoencephalopathy, cystic, without megalencephaly",RNASET2
"Leukoencephalopathy, developmental delay, and episodic neurologic regression syndrome",EIF2AK2
"Leukoencephalopathy, motor delay, spasticity, and dysarthria syndrome",EIF2AK1
"Leukoencephalopathy, progressive, infantile-onset, with or without deafness",KARS1
"Leukoencephalopathy, progressive, with ovarian failure",AARS2
Leukotriene c4 synthase deficiency,LTC4S
Levy-Hollister syndrome,"FGF10, FGFR2, FGFR3"
Lewy body dementia,"GBA, SNCA, SNCB"
"Leydig cell hypoplasia, type 1",LHCGR
Li-Campeau syndrome,UBR7
Li-Fraumeni syndrome,"TP53, "
Li-Fraumeni syndrome 1,TP53
Li-Fraumeni syndrome 2,CHEK2
Li-Ghorbani-Weisz-Hubshman syndrome,KAT8
Liang-Wang syndrome,KCNMA1
Liberfarb syndrome,PISD
Lichtenstein-knorr syndrome,SLC9A1
Liddle syndrome 1,SCNN1B
Liddle syndrome 2,SCNN1G
Liddle syndrome 3,SCNN1A
Liebenberg syndrome,PITX1
Lig4 syndrome,LIG4
Limb-girdle muscular dystrophy,"DYSF, SGCB, SGCD, "
"Limb-girdle muscular dystrophy-dystroglycanopathy, type C1",POMT1
"Limb-girdle muscular dystrophy-dystroglycanopathy, type C2",POMT2
"Limb-girdle muscular dystrophy-dystroglycanopathy, type C3",POMGNT1
"Limb-girdle muscular dystrophy-dystroglycanopathy, type C4",FKTN
"Limb-girdle muscular dystrophy-dystroglycanopathy, type C5",FKRP
"Limb-girdle muscular dystrophy-dystroglycanopathy, type C9",DAG1
Limb-girdle muscular dystrophy autosomal dominant,
"Limb-girdle muscular dystrophy, autosomal recessive",
"Limb-girdle muscular dystrophy, type 1E",DNAJB6
"Limb-girdle muscular dystrophy, type 1F",TNPO3
"Limb-girdle muscular dystrophy, type 1G",HNRNPDL
"Limb-girdle muscular dystrophy, type 2A",CAPN3
"Limb-girdle muscular dystrophy, type 2J",TTN
"Limb-girdle muscular dystrophy, type 2L",ANO5
"Limb-girdle muscular dystrophy, type 2Q",PLEC
"Limb-girdle muscular dystrophy, type 2S",TRAPPC11
Limb-mammary syndrome,TP63
Linear skin defects with multiple congenital anomalies 1,"COX7B, HCCS, NDUFB11"
Linear skin defects with multiple congenital anomalies 2,COX7B
Linear skin defects with multiple congenital anomalies 3,NDUFB11
"Lipase deficiency, combined",LMF1
Lipid proteinosis,ECM1
Lipid storage myopathy due to flavin adenine dinucleotide synthetase deficiency,FLAD1
"Lipodystrophy, congenital generalized, type 3",CAV1
"Lipodystrophy, congenital generalized, type 4",CAVIN1
Lipoprotein glomerulopathy,APOE
LIPOPROTEIN(a) QUANTITATIVE TRAIT LOCUS,LPA
Lipoyltransferase 1 deficiency,LIPT1
Lissencephaly,
Lissencephaly 10,CEP85L
"Lissencephaly 2, X-linked",ARX
Lissencephaly 3,TUBA1A
Lissencephaly 4,NDE1
Lissencephaly 5,LAMB1
"Lissencephaly 6, with microcephaly",KATNB1
Lissencephaly 7 with cerebellar hypoplasia,CDK5
Lissencephaly 8,TMTC3
Lissencephaly 9 with complex brainstem malformation,MACF1
Lissencephaly due to LIS1 mutation,PAFAH1B1
"Lissencephaly, X-linked",DCX
Localized epidermolysis bullosa simplex,"ITGB4, KRT14, KRT5"
Loeys-Dietz syndrome,
Loeys-Dietz syndrome 1,TGFBR1
Loeys-Dietz syndrome 2,TGFBR2
Loeys-Dietz syndrome 3,SMAD3
Loeys-Dietz syndrome 4,TGFB2
Loeys-Dietz syndrome 5,TGFB3
Long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency,HADHA
Long chain acyl-CoA dehydrogenase deficiency,ACADL
Long QT syndrome,"KCNE1, KCNE2, KCNH2, KCNQ1, SCN5A, "
Long QT syndrome 1,KCNQ1
Long QT syndrome 10,SCN4B
Long QT syndrome 11,AKAP9
Long QT syndrome 12,SNTA1
Long QT syndrome 13,KCNJ5
Long QT syndrome 14,CALM1
Long QT syndrome 15,CALM2
Long QT syndrome 16,CALM3
Long QT syndrome 2,"ALG10B, KCNH2"
Long QT syndrome 3,SCN5A
Long QT syndrome 5,KCNE1
Long QT syndrome 6,KCNE2
Long QT syndrome 8,CACNA1C
Long QT syndrome 9,CAV3
Lopes-Maciel-Rodan syndrome,HTT
Low density lipoprotein cholesterol level quantitative trait locus 6,SORT1
LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 7,NPC1L1
LOW DENSITY LIPOPROTEIN CHOLESTEROL LEVEL QUANTITATIVE TRAIT LOCUS 8,LIMA1
Low Gamma-GT Familial Intrahepatic Cholestasis,
Low phospholipid associated cholelithiasis,ABCB4
Lowe syndrome,OCRL
"Lower urinary tract obstruction, congenital",BNC2
Lowry-Wood syndrome,RNU4ATAC
Lucey-Driscoll syndrome,UGT1A1
LuLu phenotype,BCAM
Lung cancer,"BRAF, CASP8, CYP2A6, EGFR, ERBB2, ERCC6, FASLG, IRF1, KRAS, MAP3K8, PIK3CA, PPP2R1B, PRKN, SLC22A18"
Lung carcinoma,FASLG
"Lung disease, immunodeficiency, and chromosome breakage syndrome",NSMCE3
Luscan-lumish syndrome,SETD2
Lymphangiomyomatosis,"TSC1, TSC2"
LYMPHATIC MALFORMATION 10,ANGPT2
LYMPHATIC MALFORMATION 11,TIE1
Lymphatic malformation 3,GJC2
Lymphatic malformation 8,CALCRL
LYMPHATIC MALFORMATION 9,CELSR1
"Lymphedema, hereditary, ID",VEGFC
"Lymphedema, hereditary, III",PIEZO1
"Lymphedema, primary, with myelodysplasia",GATA2
"Lymphoma, Non-Hodgkin, Familial","BCL10, CASP10, PRF1, RAD54B, RAD54L"
Lymphoproliferative syndrome 1,ITK
"Lymphoproliferative syndrome 1, X-linked","SH2D1A, XIAP"
Lymphoproliferative syndrome 2,CD27
"Lymphoproliferative syndrome 2, X-linked",XIAP
Lynch syndrome,"MLH1, MSH2, MSH6, PMS2, "
Lynch syndrome I,"MSH2, PMS1"
Lynch syndrome II,MLH1
Lysinuric protein intolerance,SLC7A7
Lysosomal acid lipase deficiency,LIPA
MacInnes syndrome,RPS23
Macrocephaly with multiple epiphyseal dysplasia and distinctive facies,KIF7
"Macrocephaly, acquired, with impaired intellectual development",NFIB
"Macrocephaly, alopecia, cutis laxa, and scoliosis",RIN2
"Macrocephaly, dysmorphic facies, and psychomotor retardation",HERC1
Macrocephaly/autism syndrome,PTEN
"Macrocephaly/megalencephaly syndrome, autosomal recessive",TBC1D7
"Macroglobulinemia, Waldenstrom, susceptibility to, 1",MYD88
Macrothrombocytopenia and granulocyte inclusions with or without nephritis or sensorineural hearing loss,MYH9
Macular corneal dystrophy,CHST6
"Macular degeneration, age-related, 15",C9
"Macular degeneration, early-onset",FBN2
"Macular degeneration, X-linked atrophic",RPGR
Macular dystrophy with central cone involvement,MFSD8
"Macular dystrophy, patterned, 1",PRPH2
"Macular dystrophy, patterned, 2",CTNNA1
"Macular dystrophy, patterned, 3",MAPKAPK3
"Macular dystrophy, vitelliform, 4",IMPG1
"Macular dystrophy, vitelliform, 5",IMPG2
"Macular dystrophy, vitelliform, adult-onset",
Mahvash disease,GCGR
Majeed syndrome,LPIN2
Major affective disorder 7,XBP1
Major depressive disorder,"FKBP5, HTR2A, TPH2"
"Malaria, mild, susceptibility to",NCR3
Maleylacetoacetate isomerase deficiency,GSTZ1
Malformation of cortical development,
Malignant hyperthermia,
Malignant hyperthermia susceptibility,
"Malignant hyperthermia, susceptibility to, 1",RYR1
"Malignant hyperthermia, susceptibility to, 5",CACNA1S
Malignant melanoma of skin,
Malignant rhabdoid tumor,
Malignant tumor of breast,
Malignant tumor of esophagus,"DCC, LZTS1, RNF6, TGFBR2, WWOX"
Malignant tumor of prostate,"AR, BRCA2, CDH1, CHEK2, KLF6, MAD1L1, MXI1, PTEN, ZFHX3"
Malignant tumor of retina,
Malignant tumor of testis,
"Mandibular hypoplasia, deafness, progeroid features, and lipodystrophy syndrome",POLD1
Mandibuloacral dysplasia progeroid syndrome,MTX2
Mandibuloacral dysplasia with type A lipodystrophy,LMNA
Mandibuloacral dysplasia with type B lipodystrophy,ZMPSTE24
Mandibulofacial dysostosis,
Mandibulofacial dysostosis-microcephaly syndrome,EFTUD2
Mandibulofacial dysostosis with alopecia,EDNRA
Mannose-binding protein deficiency,MBL2
Maple syrup urine disease,"BCKDHA, BCKDHB, DBT"
Maple syrup urine disease type 1B,BCKDHB
"Maple syrup urine disease, mild variant",PPM1K
"Maple syrup urine disease, type 3",DLD
Maraviroc response,CCR5
MARBACH-RUSTAD PROGEROID SYNDROME,LEMD2
Marden-Walker syndrome,PIEZO2
Marfan lipodystrophy syndrome,FBN1
Marfan syndrome,FBN1
Marie Unna syndrome,
Marinesco-Sjögren syndrome,SIL1
Marshall-Smith syndrome,NFIX
Marshall syndrome,COL11A1
MARTSOLF SYNDROME 2,RAB3GAP1
MASA syndrome,L1CAM
MASP2 deficiency,MASP2
MASS syndrome,FBN1
Mast syndrome,SPG21
Mastocytosis,KIT
Matthew-Wood syndrome,STRA6
Maturity-onset diabetes of the young type 4,PDX1
Maturity-onset diabetes of the young type 6,NEUROD1
Maturity-onset diabetes of the young type 7,KLF11
Maturity-onset diabetes of the young type 8,CEL
Maturity-onset diabetes of the young type 9,PAX4
"Maturity-onset diabetes of the young, type 1",HNF4A
"Maturity-onset diabetes of the young, type 10",INS
"Maturity-onset diabetes of the young, type 11",BLK
"Maturity-onset diabetes of the young, type 13",KCNJ11
"Maturity-onset diabetes of the young, type 14",APPL1
"Maturity-onset diabetes of the young, type 2",GCK
"Maturity-onset diabetes of the young, type 3",HNF1A
McCune-Albright syndrome,GNAS
McKusick-Kaufman syndrome,MKKS
McLeod neuroacanthocytosis syndrome,XK
Meacham syndrome,WT1
Meckel-Gruber syndrome,
Meckel syndrome 12,KIF14
Meckel syndrome 13,TMEM107
Meckel syndrome type 1,MKS1
Meckel syndrome type 6,CC2D2A
Meckel syndrome type 7,NPHP3
Meckel syndrome type 8,TCTN2
"Meckel syndrome, type 10",B9D2
"Meckel syndrome, type 11",TMEM231
"Meckel syndrome, type 2",TMEM216
"Meckel syndrome, type 3",TMEM67
"Meckel syndrome, type 4",CEP290
"Meckel syndrome, type 5",RPGRIP1L
"Meckel syndrome, type 9",B9D1
Meconium ileus,
Medium-chain acyl-coenzyme A dehydrogenase deficiency,ACADM
Medullary cystic kidney disease 1,MUC1
Medulloblastoma,"BRCA2, CTNNB1, PTCH2, SUFU"
Meesmann corneal dystrophy,
Meesmann corneal dystrophy 1,KRT12
Meesmann corneal dystrophy 2,KRT3
Meester-loeys syndrome,BGN
Mega-corpus-callosum syndrome with cerebellar hypoplasia and cortical malformations,MAST1
"Megabladder, congenital",MYOCD
Megaconial type congenital muscular dystrophy,CHKB
MEGACYSTIS-MICROCOLON-INTESTINAL HYPOPERISTALSIS SYNDROME 2,MYH11
MEGACYSTIS-MICROCOLON-INTESTINAL HYPOPERISTALSIS SYNDROME 3,LMOD1
MEGACYSTIS-MICROCOLON-INTESTINAL HYPOPERISTALSIS SYNDROME 4,MYL9
MEGACYSTIS-MICROCOLON-INTESTINAL HYPOPERISTALSIS SYNDROME 5,ACTG2
"Megacystis, microcolon, hypoperistalsis syndrome","MYLK, "
Megalencephalic leukoencephalopathy with subcortical cysts,"HEPACAM, MLC1"
Megalencephalic leukoencephalopathy with subcortical cysts 1,"HEPACAM, MLC1"
Megalencephalic leukoencephalopathy with subcortical cysts 2a,HEPACAM
"Megalencephalic leukoencephalopathy with subcortical cysts 2b, remitting, with or without mental retardation",HEPACAM
Megalencephaly-capillary malformation-polymicrogyria syndrome,PIK3CA
Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 1,PIK3R2
Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2,AKT3
Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 3,CCND2
Megaloblastic anemia due to dihydrofolate reductase deficiency,DHFR
"Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness",SLC19A2
Megalocornea,
MEHMO syndrome,EIF2S3
Meier-Gorlin syndrome 1,ORC1
Meier-Gorlin syndrome 2,ORC4
Meier-Gorlin syndrome 3,ORC6
Meier-Gorlin syndrome 4,CDT1
Meier-Gorlin syndrome 5,CDC6
Meier-gorlin syndrome 6,GMNN
Meier-gorlin syndrome 7,CDC45
Meier-Gorlin syndrome 8,MCM5
Melanoma,
Melanoma-pancreatic cancer syndrome,CDKN2A
Melanoma and neural system tumor syndrome,CDKN2A
"Melanoma, cutaneous malignant, susceptibility to, 10",POT1
"Melioidosis, susceptibility to",TLR5
Melnick-Needles syndrome,FLNA
Melorheostosis,MAP2K1
Memory quantitative trait locus,WWC1
MEND syndrome,EBP
"Meningioma, familial","MN1, NF2, PDGFB, PTEN, SMARCE1, SUFU"
Menke-Hennekam syndrome,
Menke-Hennekam syndrome 1,CREBBP
Menke-Hennekam syndrome 2,EP300
Menkes kinky-hair syndrome,ATP7A
"Mental retardation 3, X-linked",HCFC1
"Mental retardation 30, X-linked",PAK3
"Mental retardation 49, X-linked",CLCN4
"Mental retardation 58, X-linked",TSPAN7
"Mental retardation 63, X-linked",ACSL4
"Mental retardation 9, X-linked",FTSJ1
Mental retardation and distinctive facial features with or without cardiac defects,MED13L
Mental retardation and microcephaly with pontine and cerebellar hypoplasia,CASK
Mental retardation with language impairment and with or without autistic features,FOXP1
"Mental retardation with panhypopituitarism, X-linked",SOX3
Mental retardation X-linked with cerebellar hypoplasia and distinctive facial appearance,OPHN1
"Mental retardation, anterior maxillary protrusion, and strabismus",SOBP
"Mental retardation, autosomal dominant 1",MBD5
"Mental retardation, autosomal dominant 10",CACNG2
"Mental retardation, autosomal dominant 11",EPB41L1
"Mental retardation, autosomal dominant 13",DYNC1H1
"Mental retardation, autosomal dominant 14",ARID1A
"Mental retardation, autosomal dominant 15",SMARCB1
"Mental retardation, autosomal dominant 16",SMARCA4
"Mental retardation, autosomal dominant 18",GATAD2B
"Mental retardation, autosomal dominant 19",CTNNB1
"Mental retardation, autosomal dominant 21",CTCF
"Mental retardation, autosomal dominant 22",ZBTB18
"Mental retardation, autosomal dominant 23",SETD5
"Mental retardation, autosomal dominant 24",DEAF1
"Mental retardation, autosomal dominant 26",AUTS2
"Mental retardation, autosomal dominant 27",SOX11
"Mental retardation, autosomal dominant 29",SETBP1
"Mental retardation, autosomal dominant 3",CDH15
"Mental retardation, autosomal dominant 30",ZMYND11
"Mental retardation, autosomal dominant 31",PURA
"Mental retardation, autosomal dominant 33",DPP6
"Mental retardation, autosomal dominant 34",CERT1
"Mental retardation, autosomal dominant 35",PPP2R5D
"Mental retardation, autosomal dominant 36",PPP2R1A
"Mental retardation, autosomal dominant 38",EEF1A2
"Mental retardation, autosomal dominant 39",MYT1L
"Mental retardation, autosomal dominant 40",CHAMP1
"Mental retardation, autosomal dominant 41",TBL1XR1
"Mental retardation, autosomal dominant 42",GNB1
"Mental retardation, autosomal dominant 43",HIVEP2
"Mental retardation, autosomal dominant 44",TRIO
"Mental retardation, autosomal dominant 5",SYNGAP1
"Mental retardation, autosomal dominant 6",GRIN2B
"Mental retardation, autosomal dominant 7",DYRK1A
"Mental retardation, autosomal recessive 1",PRSS12
"Mental retardation, autosomal recessive 12",ST3GAL3
"Mental retardation, autosomal recessive 13",TRAPPC9
"Mental retardation, autosomal recessive 14",TECR
"Mental retardation, autosomal recessive 15",MAN1B1
"Mental retardation, autosomal recessive 18",MED23
"Mental retardation, autosomal recessive 2",CRBN
"Mental retardation, autosomal recessive 27",LINS1
"Mental retardation, autosomal recessive 3",CC2D1A
"Mental retardation, autosomal recessive 34",CRADD
"Mental retardation, autosomal recessive 36",ADAT3
"Mental retardation, autosomal recessive 37",ANK3
"Mental retardation, autosomal recessive 38",HERC2
"Mental retardation, autosomal recessive 39",TTI2
"Mental retardation, autosomal recessive 40",TAF2
"Mental retardation, autosomal recessive 41",KPTN
"Mental retardation, autosomal recessive 42",PGAP1
"Mental retardation, autosomal recessive 43",WASHC4
"Mental retardation, autosomal recessive 44",METTL23
"Mental retardation, autosomal recessive 45",FBXO31
"Mental retardation, autosomal recessive 46",NDST1
"Mental retardation, autosomal recessive 47",FMN2
"Mental retardation, autosomal recessive 48",SLC6A17
"Mental retardation, autosomal recessive 49",GPT2
"Mental retardation, autosomal recessive 5",NSUN2
"Mental retardation, autosomal recessive 50",EDC3
"Mental retardation, autosomal recessive 51",HNMT
"Mental retardation, autosomal recessive 52",LMAN2L
"Mental retardation, autosomal recessive 53",PIGG
"Mental retardation, autosomal recessive 54",TNIK
"Mental retardation, autosomal recessive 55",PUS3
"Mental retardation, autosomal recessive 56",ZC3H14
"Mental retardation, autosomal recessive 57",MBOAT7
"Mental retardation, autosomal recessive 58",ELP2
"Mental retardation, autosomal recessive 59",IMPA1
"Mental retardation, autosomal recessive 6",GRIK2
"Mental retardation, autosomal recessive 60",TAF13
"Mental retardation, autosomal recessive 7",TUSC3
"Mental retardation, enteropathy, deafness, peripheral neuropathy, ichthyosis, and keratoderma",AP1S1
"Mental retardation, fra12a type",DIP2B
"Mental retardation, short stature, facial anomalies, and joint dislocations",FBXL3
"Mental retardation, stereotypic movements, epilepsy, and/or cerebral malformations",MEF2C
"Mental retardation, syndromic 14, X-linked",UPF3B
"Mental retardation, syndromic, Claes-Jensen type, X-linked",KDM5C
"Mental retardation, with or without seizures, ARX-related, X-linked",ARX
"Mental retardation, X-linked 1",IQSEC2
"Mental retardation, X-linked 100",KIF4A
"Mental retardation, X-linked 101",MID2
"Mental retardation, X-linked 102",DDX3X
"Mental retardation, X-linked 103",KLHL15
"Mental retardation, X-linked 104",FRMPD4
"Mental retardation, X-linked 105",USP27X
"Mental retardation, X-linked 12",THOC2
"Mental retardation, X-linked 19",RPS6KA3
"Mental retardation, X-linked 50",SYN1
"Mental retardation, X-linked 61",RLIM
"Mental retardation, X-linked 72",RAB39B
"Mental retardation, X-linked 93",BRWD3
"Mental retardation, X-linked 96",SYP
"Mental retardation, X-linked 98",NEXMIF
"Mental retardation, X-linked 99",USP9X
"Mental retardation, X-linked 99, syndromic, female-restricted",USP9X
"Mental retardation, X-linked, syndromic 13",MECP2
"Mental retardation, X-linked, syndromic 32",CLIC2
"Mental retardation, X-linked, syndromic 33",TAF1
"Mental retardation, X-linked, syndromic 34",NONO
